546,8304,P.M. Sayeed,"Laccadive, Minicoy and Amindivi Islands, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep, Lakshadweep",Delhi
552,8389,Jaswant Singh,"Jodhpur, Chittorgarh, Chittorgarh, Darjeeling",Rajasthan
583,7266,Ajit Singh,"Kapurthala-Bhatinda, Bhatinda",Uttar Pradesh
588,7277,Joachim Alva,"Kanara, Kanara, Kanara",Bhadrak
592,8602,Anand Chand,Bilaspur,"Bihar, Bihar"
647,9118,Maragatham Chandrasekhar,"Tiruvallur, Mayuram, Sriperumbudur, Sriperumbudur, Sriperumbudur","Bhadrak, Bhadrak, Bhadrak"
655,7442,Ganeshi Lal Chaudhary,Shahjahanpur Distt. (North) cum Kheri (East),Uttar Pradesh
658,8659,Tridib Chaudhuri,"Berhampore, Berhampore, Berhampore, Berhampore, Berhampore, Berhampore, Berhampore","West Bengal, West Bengal"
683,8679,Suresh Chandra Deb,Cachar-Lusai Hills,"Assam, Assam"
696,7517,Sohan Lal Dhusiya,Basti Distt. Central (East) Cum Gorakhpur Distt.(West),Uttar Pradesh
719,8704,Surendra Mohan Ghose,Malda,"West Bengal, West Bengal"
748,7631,Iqbal Singh,"Fazilka-Sirsa, Ferozepur, Ferozepur, Fazilka",Punjab
751,7644,Ajit Prasad Jain,"Saharanpur Distt.(West) cum Muzaffarnagar Distt.(North), Saharanpur, Tumkur",Uttar Pradesh
764,8744,Jogendra Singh,"Bahraich Distt. (West), Bahraich Distt. (West)","Uttar Pradesh, Uttar Pradesh"
765,8747,Jethalal Harikrishna Joshi,Madhya Saurashtra,"Bombay, Bombay"
782,7713,Nemi Chandra Kasliwal,"Kotah-Jhalwar, Kota",Rajasthan
787,8767,Rishang Keishing,"Outer Manipur, Outer Manipur","Manipur, Manipur"
793,8779,Mehr Chand Khanna,New Delhi,"West Bengal, Delhi"
805,8788,M.R. Krishna,"Karimnagar, Karimnagar, Peddapalli, Peddapalli","Andhra Pradesh, Andhra Pradesh"
806,7758,Krishna Chandra,"Mathura Distt West, Jalesar",Uttar Pradesh
817,7813,N.M. Lingam,Coimbatore,Bhadrak
852,8832,Lalit Narayan Mishra,"Darbhanga cum Bhagalpur, Saharsa, Darbhanga","Bihar, Bihar"
877,8851,Gurmukh Singh Musafir,"Amritsar, Amritsar, Amritsar","Punjab, Punjab"
900,8011,Uma Nehru,"Sitapur District cum Kheri Distt. West, Sitapur",Uttar Pradesh
907,8876,C.D. Pande,"Nainital Dist. cum Almora Dist.(South-West)cum Bareilly(North), Nainital","Uttar Pradesh, Uttar Pradesh"
955,8181,Ranjit Singh,"Sangrur, Sangrur",Haryana
956,8185,B. Shiva Rao,South Kanara South,Mysore
1003,8335,Balkrishna Sharma,Kanpur District (South) cum Etawah District (East),Uttar Pradesh
1012,8992,Lal Bahadur Shastri,"Allahabad, Allahabad","Uttar Pradesh, Uttar Pradesh"
1055,7284,Ammu Swaminadhan,Dindigul,Madras
1057,8465,Swaran Singh,"Jullundur, Jullundur, Jullundur, Jullundur",Punjab
1059,8468,Syed Mahmud,"Champaran-East, Gopalganj",Bihar
1061,8474,Purushottam Das Tandon,Allahabad Distt. West,Uttar Pradesh
1082,8515,Mahavir Tyagi,"Dehradun Dist.cum Bijnor Dist.(N-West) cum Saharanpur (West), Dehradun, Dehradun",Uttar Pradesh
1118,7313,Lila Dhar Asthana,Unnao,Uttar Pradesh
1152,7486,H.C. Dasappa,"Bangalore, Bangalore",Karnataka
1167,7539,Surendranath Dwivedy,"Kendrapara, Kendrapara, Kendrapara",Orissa
1179,7560,Bimal Comar Ghose,Barrackpore,West Bengal
1185,7577,Narayan Ganesh Goray,Poona,Maharashtra
1225,8056,Parvathi Krishnan,"Coimbatore, Coimbatore, Coimbatore",Tamil Nadu
1254,9158,Harish Chandra Mathur,"Pali, Jalore","Rajasthan, Rajasthan, Rajasthan"
1267,8841,Surendra Mohanty,"Dhenkanal, Kendrapara","Orissa, Orissa"
1314,8213,Rajaram Balkrishna Raut,Kolaba,Bombay
1342,8949,Biren Roy,Calcutta South West,"West Bengal, West Bengal"
1357,8975,Vijaya Raje Scindia,"Guna, Gwalior, Guna, Bhind, Guna, Guna, Guna, Guna","Madhya Pradesh, Madhya Pradesh"
1386,8445,P. Subbarayan,Tiruchengode,Madras
1390,9031,Sumat Prasad,"Muzaffarnagar, Muzaffarnagar","Uttar Pradesh, Uttar Pradesh"
1391,8454,Shraddhakar Supakar,"Sambalpur, Sambalpur",Orissa
1396,9042,A.M. Tariq,Srinagar,"Jammu and Kashmir, Jammu and Kashmir"
1410,8550,Vijaya Raje,"Chatra, Chatra, Chatra",Bihar
1411,8557,Ramesh Chandra Vyas,"Bhilwara, Bhilwara",Rajasthan
1419,8371,Ajit Pratap Singh,"Pratapgarh, Pratapgarh",Uttar Pradesh
1494,7683,Humayun Kabir,"Basirhat, Basirhat",West Bengal
1498,7654,S.C. Jamir,"Naga Hills Tuensang Area, Naga Hills Tuensang Area, Nagaland",Nagaland
1499,7656,Jamuna Devi,Jhabua,Madhya Pradesh
1541,8818,Bhupendra Narayan Mandal,Saharsa,"Bihar, Bihar"
1550,7884,Buddha Priya Maurya,"Aligarh, Hapur",Andhra Pradesh
1551,8824,Dhuleshwar Meena,Udaipur,"Rajasthan, Rajasthan"
1576,8027,Tika Ram Paliwal,Hindaun,Rajasthan
1608,8158,Ram Singh,Bahraich,Uttar Pradesh
1628,8948,Yashoda Reddy,Kurnool,"Andhra Pradesh, Andhra Pradesh"
1636,9203,Anant Prasad Sharma,"Buxar, Buxar","Bihar, Bihar, Bihar"
1642,9000,Shyamkumari Devi,Raipur,"Madhya Pradesh, Madhya Pradesh"
1702,8589,Fakhruddin Ali Ahmed,"Barpeta, Barpeta","Assam, Assam"
1704,7279,Debananda Amat,"Sundergarh, Sundergarh, Sundergarh",Orissa
1708,7282,Sardar Amjad Ali,Basirhat,West Bengal
1749,7469,Abdul Ghani Dar,Gurgaon,Punjab
1764,8824,Dhuleshwar Meena,Udaipur,"Rajasthan, Rajasthan"
1771,7547,Indira Gandhi,"Raebareli, Raebareli, Chikmagalur, Medak",Uttar Pradesh
1799,7665,Shiva Chandra Jha,Madhubani,Bihar
1805,8757,M. Kamalanathan,Krishnagiri,"Tamil Nadu, Tamil Nadu"
